Point,CPD (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
321,-42.3,-40.1,-3.4,2.5,286.4,0.2,0.00,1.3,133.286,,
322,-41.6,-41.1,-2.7,2.5,286.4,0.2,0.00,0.3,133.707,,
323,-38.9,-40.9,0.0,2.5,286.3,0.2,0.00,1.0,134.128,,
324,-40.3,-40.3,-1.5,2.5,286.4,0.2,0.00,1.3,134.534,,
325,-39.2,-39.5,-0.4,2.5,286.5,0.2,0.00,1.3,134.955,,
326,-38.3,-39.3,0.5,2.5,286.5,0.2,0.00,1.3,135.376,,
327,-37.3,-38.3,1.6,2.5,286.4,0.2,0.00,0.7,135.798,,
328,-40.3,-38.6,-1.4,2.5,286.6,0.2,0.00,1.3,136.203,,
329,-39.8,-39.1,-0.9,2.5,286.6,0.2,0.00,1.3,136.624,,
330,-40.2,-40.1,-1.3,2.5,286.3,0.2,0.00,1.4,137.046,,
331,-39.3,-39.7,-0.4,2.5,286.4,0.2,0.00,0.6,137.467,,
332,-37.5,-39.0,1.4,2.5,286.5,0.2,0.00,1.3,137.872,,
333,-37.3,-38.0,1.6,2.5,286.4,0.2,0.00,1.4,138.278,,
334,-36.9,-37.2,1.9,2.5,286.5,0.2,0.00,0.0,138.699,,
335,-39.6,-37.9,-0.7,2.5,286.4,0.2,0.00,0.9,139.120,,
336,-38.4,-38.3,0.5,2.5,286.5,0.2,0.00,1.2,139.542,,
337,-41.3,-39.8,-2.5,2.5,286.6,0.2,0.00,1.3,139.947,,
338,-35.3,-38.3,3.5,2.5,286.6,0.2,0.00,1.4,140.368,,
339,-35.5,-37.4,3.4,2.5,286.5,0.2,0.00,0.7,140.790,,
340,-36.4,-35.7,2.5,2.5,286.6,0.2,0.00,1.3,141.195,,
341,-40.1,-37.3,-1.3,2.5,286.5,0.2,0.00,1.3,141.601,,
342,-37.6,-38.0,1.3,2.5,286.8,0.2,0.00,0.6,142.022,,
343,-41.3,-39.7,-2.5,2.5,286.7,0.2,0.00,1.3,142.428,,
344,-40.6,-39.9,-1.8,2.5,286.6,0.2,0.00,1.4,142.833,,
345,-40.1,-40.7,-1.2,2.5,286.7,0.2,0.00,0.3,143.254,,
346,-39.0,-39.9,-0.2,2.5,286.6,0.2,0.00,0.9,143.676,,
347,-39.9,-39.7,-1.1,2.5,286.6,0.2,0.00,1.3,144.081,,
348,-36.4,-38.4,2.5,2.5,286.7,0.2,0.00,1.3,144.502,,
349,-38.3,-38.2,0.5,2.5,286.7,0.2,0.00,-0.7,144.924,,
350,-36.9,-37.2,1.9,2.5,286.6,0.2,0.00,1.4,145.360,,
351,-36.7,-37.3,2.2,2.5,286.8,0.2,0.00,0.7,145.782,,
352,-41.3,-38.3,-2.5,2.5,286.7,0.2,0.00,1.3,146.187,,
353,-40.6,-39.6,-1.8,2.5,286.6,0.2,0.00,1.4,146.593,,
354,-35.5,-39.2,3.4,2.5,286.7,0.2,0.00,0.3,147.014,,
355,-36.9,-37.7,1.9,2.5,286.5,0.2,0.00,0.1,147.451,,
356,-39.9,-37.4,-1.1,2.5,286.7,0.2,0.00,-0.6,147.888,,
357,-41.9,-39.6,-3.0,2.5,286.7,0.2,0.00,1.4,148.324,,
358,-40.6,-40.8,-1.8,2.5,286.7,0.2,0.00,0.8,148.746,,
359,-43.8,-42.1,-5.0,2.5,286.7,0.2,0.00,0.4,149.182,,
360,-39.4,-41.3,-0.5,2.5,286.7,0.2,0.00,1.3,149.588,,
361,-36.7,-40.0,2.1,2.5,286.8,0.2,0.00,1.4,149.994,,
362,-34.6,-36.9,4.3,2.5,286.7,0.2,0.00,0.0,150.415,,
363,-39.9,-37.1,-1.1,2.5,286.6,0.2,0.00,1.0,150.836,,
364,-38.3,-37.6,0.5,2.5,286.5,0.2,0.00,1.4,151.242,,
365,-39.0,-39.1,-0.2,2.5,286.8,0.2,0.00,1.3,151.663,,
366,-37.4,-38.3,1.4,2.5,286.7,0.2,0.00,1.4,152.100,,
367,-41.9,-39.4,-3.0,2.5,286.8,0.2,0.00,1.4,152.536,,
368,-39.6,-39.6,-0.7,2.5,286.6,0.2,0.00,1.4,152.958,,
369,-38.7,-40.0,0.2,2.5,286.7,0.2,0.00,1.3,153.394,,
370,-36.0,-38.1,2.8,2.5,286.5,0.2,0.00,1.3,153.847,,
371,-39.2,-38.0,-0.3,2.5,286.9,0.2,0.00,1.3,154.284,,
372,-35.8,-37.0,3.0,2.5,286.7,0.2,0.00,1.4,154.689,,
373,-37.4,-37.5,1.4,2.5,286.8,0.2,0.00,1.4,155.126,,
374,-39.4,-37.5,-0.5,2.5,286.9,0.2,0.00,1.4,155.563,,
375,-39.6,-38.8,-0.7,2.5,286.8,0.2,0.00,1.3,156.000,,
376,-37.4,-38.8,1.4,2.5,286.7,0.2,0.00,1.3,156.436,,
377,-43.5,-40.2,-4.6,2.5,286.7,0.2,0.00,1.3,156.873,,
378,-36.9,-39.3,2.0,2.5,286.8,0.2,0.00,1.4,157.310,,
379,-40.6,-40.3,-1.8,2.5,286.7,0.2,0.00,1.3,157.747,,
380,-33.2,-36.9,5.7,2.5,286.8,0.2,0.00,1.3,158.184,,
381,-36.9,-36.9,2.0,2.5,286.7,0.2,0.00,1.3,158.605,,
382,-38.3,-36.1,0.6,2.5,286.8,0.2,0.00,1.3,159.042,,
383,-40.3,-38.5,-1.4,2.5,286.8,0.2,0.00,1.4,159.478,,
384,-41.2,-39.9,-2.3,2.5,286.7,0.2,0.00,1.4,159.915,,
385,-33.9,-38.4,5.0,2.5,286.7,0.2,0.00,1.4,160.352,,
386,-38.0,-37.7,0.9,2.5,286.7,0.2,0.00,1.3,160.789,,
387,-41.7,-37.8,-2.8,2.5,286.7,0.2,0.00,1.4,161.226,,
388,-37.8,-39.1,1.1,2.5,286.8,0.2,0.00,1.3,161.662,,
389,-41.5,-40.3,-2.7,2.5,286.6,0.2,0.00,1.3,162.099,,
390,-36.9,-38.7,2.0,2.5,286.8,0.2,0.00,1.3,162.536,,
391,-39.4,-39.3,-0.5,2.5,286.8,0.2,0.00,1.3,162.957,,
392,-39.2,-38.5,-0.4,2.5,286.6,0.2,0.00,1.4,163.394,,
393,-38.5,-39.0,0.4,2.5,286.7,0.2,0.00,1.3,163.831,,
394,-41.5,-39.7,-2.6,2.5,286.8,0.2,0.00,1.3,164.268,,
395,-39.4,-39.8,-0.5,2.5,286.8,0.2,0.00,1.3,164.704,,
396,-37.6,-39.5,1.2,2.5,286.7,0.2,0.00,1.3,165.126,,
397,-40.6,-39.2,-1.8,2.5,286.6,0.2,0.00,1.4,165.547,,
398,-36.9,-38.4,2.0,2.5,287.0,0.2,0.00,1.4,165.984,,
399,-34.2,-37.2,4.6,2.5,286.9,0.2,0.00,1.3,166.420,,
400,-37.2,-36.1,1.6,2.5,286.8,0.2,0.00,1.3,166.857,,
401,-35.8,-35.8,3.0,2.5,286.7,0.2,0.00,1.3,167.294,,
402,-34.6,-35.9,4.2,2.5,286.5,0.2,0.00,1.3,167.731,,
403,-39.8,-36.7,-0.9,2.5,286.5,0.2,0.00,1.3,168.168,,
404,-43.5,-39.3,-4.6,2.5,286.6,0.2,0.00,1.3,168.604,,
405,-37.3,-40.2,1.6,2.5,286.6,0.2,0.00,1.3,169.041,,
406,-42.4,-41.0,-3.5,2.5,286.8,0.2,0.00,1.3,169.478,,
407,-38.1,-39.3,0.7,2.5,286.7,0.2,0.00,1.3,169.899,,
408,-42.6,-41.0,-3.7,2.5,286.7,0.2,0.00,1.4,170.336,,
409,-35.7,-38.8,3.2,2.5,286.5,0.2,0.00,1.4,170.773,,
410,-42.4,-40.2,-3.5,2.5,286.7,0.2,0.00,1.3,171.210,,
411,-34.1,-37.4,4.8,2.5,286.7,0.2,0.00,1.3,171.646,,
412,-37.5,-38.0,1.4,2.5,286.5,0.2,0.00,1.2,172.083,,
413,-37.5,-36.3,1.4,2.5,286.6,0.2,0.00,1.4,172.504,,
414,-43.9,-39.6,-5.0,2.5,286.5,0.2,0.00,1.4,172.941,,
415,-40.1,-40.5,-1.2,2.5,286.8,0.2,0.00,-0.5,173.347,,
416,-39.8,-41.2,-0.9,2.5,286.5,0.2,0.00,1.3,173.784,,
417,-38.5,-39.5,0.4,2.5,286.6,0.2,0.00,1.4,174.220,,
418,-39.9,-39.4,-1.1,2.5,286.6,0.2,0.00,1.3,174.657,,
419,-35.5,-38.0,3.4,2.5,286.6,0.2,0.00,1.3,175.094,,
420,-36.4,-37.3,2.5,2.5,286.5,0.2,0.00,1.3,175.531,,
421,-38.9,-36.9,0.0,2.5,286.5,0.2,0.00,1.4,175.952,,
422,-38.3,-37.9,0.5,2.5,286.7,0.2,0.00,1.3,176.389,,
423,-39.6,-38.9,-0.7,2.5,286.6,0.2,0.00,1.4,176.826,,
424,-35.9,-37.9,3.0,2.5,286.4,0.2,0.00,1.3,177.262,,
425,-36.2,-37.2,2.7,2.5,286.6,0.2,0.00,1.4,177.699,,
426,-44.0,-38.7,-5.2,2.5,286.5,0.2,0.00,1.3,178.136,,
427,-37.8,-39.4,1.0,2.5,286.4,0.2,0.00,1.3,178.573,,
428,-34.3,-38.7,4.6,2.5,286.5,0.2,0.00,1.3,179.010,,
429,-36.6,-36.2,2.3,2.5,286.5,0.2,0.00,1.4,179.446,,
430,-34.6,-35.1,4.3,2.5,286.6,0.2,0.00,1.4,179.883,,
431,-38.5,-36.6,0.3,2.5,286.5,0.2,0.00,1.3,180.320,,
432,-41.7,-38.3,-2.8,2.5,286.6,0.2,0.00,1.3,180.757,,
433,-41.2,-40.5,-2.3,2.5,286.5,0.2,0.00,1.3,181.194,,
434,-37.5,-40.1,1.4,2.5,286.5,0.2,0.00,1.3,181.615,,
435,-37.8,-38.8,1.1,2.5,286.6,0.2,0.00,1.3,182.052,,
436,-37.3,-37.5,1.6,2.5,286.5,0.2,0.00,1.3,182.488,,
437,-38.7,-37.9,0.2,2.5,286.6,0.2,0.00,1.3,182.925,,
438,-41.2,-39.0,-2.3,2.5,286.6,0.2,0.00,1.3,183.362,,
439,-36.0,-38.6,2.8,2.5,286.6,0.2,0.00,1.3,183.799,,
440,-41.7,-39.6,-2.9,2.5,286.5,0.2,0.00,1.3,184.220,,
441,-32.0,-36.6,6.9,2.5,286.5,0.2,0.00,1.4,184.657,,
442,-39.2,-37.6,-0.4,2.5,286.6,0.2,0.00,1.3,185.094,,
443,-36.7,-36.0,2.1,2.5,286.5,0.2,0.00,1.3,185.530,,
444,-40.5,-38.8,-1.6,2.5,286.4,0.2,0.00,1.3,185.967,,
445,-35.9,-37.7,3.0,2.5,286.6,0.2,0.00,1.3,186.404,,
446,-38.9,-38.4,0.0,2.5,286.5,0.2,0.00,1.3,186.825,,
447,-38.9,-37.9,0.0,2.5,286.6,0.2,0.00,1.3,187.262,,
448,-43.1,-40.3,-4.3,2.5,286.5,0.2,0.00,1.3,187.699,,
449,-37.8,-39.9,1.0,2.5,286.5,0.2,0.00,1.3,188.136,,
450,-32.7,-37.9,6.2,2.5,286.6,0.2,0.00,1.2,188.572,,
451,-43.5,-38.0,-4.6,2.5,286.5,0.2,0.00,1.3,188.994,,
452,-38.9,-38.3,0.0,2.5,286.5,0.2,0.00,1.4,189.430,,
453,-38.9,-40.4,0.0,2.5,286.6,0.2,0.00,1.3,189.867,,
454,-36.0,-37.9,2.8,2.5,286.5,0.2,0.00,1.3,190.304,,
455,-35.8,-36.9,3.0,2.5,286.7,0.2,0.00,1.3,190.741,,
456,-36.7,-36.2,2.1,2.5,286.6,0.2,0.00,1.2,191.178,,
457,-41.2,-37.9,-2.3,2.5,286.5,0.2,0.00,1.3,191.614,,
458,-40.8,-39.6,-2.0,2.5,286.5,0.2,0.00,1.3,192.036,,
459,-38.5,-40.2,0.3,2.5,286.5,0.2,0.00,1.3,192.472,,
460,-41.4,-40.2,-2.5,2.5,286.5,0.2,0.00,1.2,192.909,,
461,-37.8,-39.2,1.1,2.5,286.6,0.2,0.00,1.3,193.346,,
462,-37.6,-38.9,1.2,2.5,286.6,0.2,0.00,1.3,193.783,,
463,-40.1,-38.5,-1.2,2.5,286.7,0.2,0.00,1.3,194.204,,
464,-36.4,-38.0,2.5,2.5,286.5,0.2,0.00,1.4,194.641,,
465,-38.5,-38.3,0.4,2.5,286.8,0.2,0.00,1.3,195.078,,
466,-38.4,-37.7,0.5,2.5,286.4,0.2,0.00,1.3,195.514,,
467,-42.8,-39.9,-3.9,2.5,286.6,0.2,0.00,1.3,195.936,,
468,-36.7,-39.3,2.1,2.5,286.6,0.2,0.00,1.4,196.372,,
469,-36.0,-38.5,2.8,2.5,286.5,0.2,0.00,1.4,196.809,,
470,-36.2,-36.3,2.6,2.5,286.4,0.2,0.00,1.3,197.246,,
471,-33.9,-35.4,5.0,2.5,286.6,0.2,0.00,1.3,197.667,,
472,-37.6,-35.9,1.2,2.5,286.6,0.2,0.00,1.3,198.104,,
473,-41.3,-37.6,-2.5,2.5,286.7,0.2,0.00,1.3,198.541,,
474,-35.7,-38.2,3.2,2.5,286.7,0.2,0.00,1.4,198.978,,
475,-40.5,-39.2,-1.6,2.5,286.4,0.2,0.00,1.3,199.414,,
476,-36.2,-37.5,2.6,2.5,286.4,0.2,0.00,1.4,199.836,,
477,-36.6,-37.8,2.3,2.5,286.5,0.2,0.00,1.3,200.272,,
478,-35.3,-36.0,3.5,2.5,286.6,0.2,0.00,1.4,200.709,,
479,-36.9,-36.3,1.9,2.5,286.5,0.2,0.00,1.3,201.146,,
480,-36.6,-36.3,2.3,2.5,286.6,0.2,0.00,1.4,201.583,,
481,-37.6,-37.0,1.2,2.5,286.5,0.2,0.00,1.3,202.020,,
482,-41.0,-38.4,-2.1,2.5,286.6,0.2,0.00,1.3,202.456,,
483,-35.8,-38.2,3.0,2.5,286.6,0.2,0.00,1.3,202.893,,
484,-38.5,-38.5,0.3,2.5,286.3,0.2,0.00,1.3,203.314,,
485,-38.5,-37.6,0.3,2.5,286.6,0.2,0.00,1.3,203.751,,
486,-41.5,-39.5,-2.7,2.5,286.6,0.2,0.00,1.3,204.188,,
487,-37.8,-39.3,1.1,2.5,286.6,0.2,0.00,1.3,204.625,,
488,-36.0,-38.5,2.8,2.5,286.5,0.2,0.00,1.4,205.062,,
489,-37.5,-37.1,1.4,2.5,286.5,0.2,0.00,1.3,205.498,,
490,-37.3,-36.9,1.6,2.5,286.4,0.2,0.00,1.4,205.920,,
491,-40.8,-38.5,-2.0,2.5,286.6,0.2,0.00,1.3,206.341,,
492,-40.3,-39.5,-1.4,2.5,286.5,0.2,0.00,1.3,206.778,,
493,-36.6,-39.2,2.3,2.5,286.6,0.2,0.00,1.3,207.214,,
494,-39.6,-38.8,-0.7,2.5,286.4,0.2,0.00,1.3,207.651,,
495,-38.3,-38.2,0.5,2.5,286.7,0.2,0.00,1.3,208.088,,
496,-31.1,-36.3,7.8,2.5,286.5,0.2,0.00,1.4,208.525,,
497,-39.1,-36.1,-0.2,2.5,286.5,0.2,0.00,1.3,208.962,,
498,-37.1,-35.7,1.8,2.5,286.6,0.2,0.00,1.3,209.383,,
499,-39.9,-38.7,-1.1,2.5,286.5,0.2,0.00,1.3,209.820,,
500,-37.4,-38.2,1.4,2.5,286.7,0.2,0.00,1.4,210.256,,
501,-39.2,-38.9,-0.4,2.5,286.5,0.2,0.00,1.4,210.678,,
502,-40.3,-39.0,-1.4,2.5,286.5,0.2,0.00,1.3,211.114,,
503,-34.1,-37.9,4.8,2.5,286.6,0.2,0.00,1.3,211.551,,
504,-33.9,-36.1,5.0,2.5,286.6,0.2,0.00,1.3,211.988,,
505,-38.9,-35.6,0.0,2.5,286.5,0.2,0.00,1.3,212.425,,
506,-39.1,-37.3,-0.2,2.5,286.5,0.2,0.00,1.4,212.862,,
507,-37.3,-38.4,1.6,2.5,286.6,0.2,0.00,1.3,213.298,,
508,-36.6,-37.6,2.3,2.5,286.5,0.2,0.00,1.3,213.720,,
509,-40.3,-38.0,-1.4,2.5,286.6,0.2,0.00,1.3,214.156,,
510,-39.4,-38.8,-0.6,2.5,286.4,0.2,0.00,1.3,214.593,,
511,-34.8,-38.2,4.1,2.5,286.4,0.2,0.00,1.4,215.030,,
512,-38.9,-37.7,0.0,2.5,286.5,0.2,0.00,1.3,215.467,,
513,-43.0,-38.9,-4.1,2.5,286.5,0.2,0.00,1.3,215.888,,
514,-39.0,-40.3,-0.2,2.5,286.6,0.2,0.00,1.4,216.325,,
515,-33.9,-38.6,5.0,2.5,286.6,0.2,0.00,1.3,216.762,,
516,-37.4,-36.8,1.4,2.5,286.6,0.2,0.00,1.3,217.198,,
517,-35.3,-35.6,3.5,2.5,286.6,0.2,0.00,1.3,217.620,,
518,-39.7,-37.5,-0.9,2.5,286.7,0.2,0.00,1.3,218.056,,
519,-37.8,-37.6,1.1,2.5,286.7,0.2,0.00,1.3,218.493,,
520,-35.1,-37.6,3.7,2.5,286.6,0.2,0.00,1.3,218.930,,
521,-38.9,-37.3,0.0,2.5,286.4,0.2,0.00,1.4,219.367,,
522,-37.1,-37.0,1.8,2.5,286.5,0.2,0.00,1.3,219.804,,
523,-36.7,-37.6,2.1,2.5,286.5,0.2,0.00,1.3,220.225,,
524,-38.7,-37.5,0.1,2.5,286.4,0.2,0.00,1.3,220.662,,
525,-35.1,-36.9,3.7,2.5,286.5,0.2,0.00,1.3,221.098,,
526,-37.1,-37.0,1.8,2.5,286.6,0.2,0.00,1.4,221.535,,
527,-35.8,-36.0,3.0,2.5,286.7,0.2,0.00,1.4,221.972,,
528,-37.3,-36.7,1.6,2.5,286.5,0.2,0.00,1.3,222.409,,
529,-39.6,-37.6,-0.7,2.5,286.6,0.2,0.00,1.4,222.830,,
530,-36.4,-37.7,2.5,2.5,286.8,0.2,0.00,1.3,223.267,,
531,-39.7,-38.6,-0.9,2.5,286.7,0.2,0.00,1.4,223.704,,
532,-40.5,-38.9,-1.6,2.5,286.6,0.2,0.00,1.4,224.140,,
533,-42.3,-40.8,-3.4,2.5,286.5,0.2,0.00,1.3,224.577,,
534,-37.3,-40.0,1.6,2.5,286.5,0.2,0.00,1.3,225.014,,
535,-36.0,-38.5,2.8,2.5,286.5,0.2,0.00,1.4,225.435,,
536,-40.7,-38.0,-1.8,2.5,286.3,0.2,0.00,1.3,225.872,,
537,-37.3,-38.0,1.6,2.5,286.5,0.2,0.00,1.3,226.309,,
538,-41.9,-40.0,-3.0,2.5,286.5,0.2,0.00,1.3,226.746,,
539,-36.0,-38.4,2.8,2.5,286.6,0.2,0.00,1.3,227.167,,
540,-39.9,-39.3,-1.1,2.5,286.7,0.2,0.00,1.3,227.604,,
541,-37.3,-37.7,1.6,2.5,286.5,0.2,0.00,1.4,228.040,,
542,-39.6,-38.9,-0.7,2.5,286.5,0.2,0.00,1.3,228.477,,
543,-37.8,-38.2,1.0,2.5,286.5,0.2,0.00,1.3,228.914,,
544,-37.8,-38.4,1.0,2.5,286.5,0.2,0.00,1.4,229.335,,
545,-39.8,-38.5,-0.9,2.5,286.4,0.2,0.00,1.4,229.772,,
546,-41.4,-39.7,-2.5,2.5,286.4,0.2,0.00,1.4,230.209,,
547,-34.4,-38.5,4.4,2.5,286.6,0.2,0.00,1.3,230.646,,
548,-31.9,-35.9,6.9,2.5,286.6,0.2,0.00,1.3,231.082,,
549,-41.2,-35.9,-2.3,2.5,286.5,0.2,0.00,1.4,231.519,,
550,-40.6,-37.9,-1.8,2.5,286.5,0.2,0.00,1.4,231.940,,
551,-41.0,-40.9,-2.1,2.5,286.6,0.2,0.00,1.4,232.377,,
552,-37.7,-39.8,1.2,2.5,286.3,0.2,0.00,1.3,232.814,,
553,-38.9,-39.2,0.0,2.5,286.4,0.2,0.00,1.3,233.251,,
554,-38.9,-38.5,0.0,2.5,286.5,0.2,0.00,1.4,233.688,,
555,-34.5,-37.4,4.4,2.5,286.4,0.2,0.00,1.3,234.109,,
556,-39.2,-37.5,-0.4,2.5,286.5,0.2,0.00,1.3,234.546,,
557,-38.2,-37.3,0.7,2.5,286.3,0.2,0.00,1.4,234.982,,
558,-35.0,-37.5,3.9,2.5,286.4,0.2,0.00,1.3,235.419,,
559,-41.4,-38.2,-2.5,2.5,286.5,0.2,0.00,1.3,235.856,,
560,-37.5,-37.9,1.4,2.5,286.4,0.2,0.00,1.3,236.293,,
561,-38.2,-39.0,0.7,2.5,286.5,0.2,0.00,1.3,236.714,,
562,-34.8,-36.8,4.0,2.5,286.3,0.2,0.00,1.4,237.151,,
563,-39.4,-37.5,-0.5,2.5,286.6,0.2,0.00,1.3,237.588,,
564,-39.4,-37.9,-0.6,2.5,286.5,0.2,0.00,1.4,238.024,,
565,-39.4,-39.4,-0.6,2.5,286.4,0.2,0.00,1.4,238.461,,
566,-40.9,-39.9,-2.0,2.5,286.3,0.2,0.00,1.4,238.882,,
567,-36.0,-38.8,2.8,2.5,286.4,0.2,0.00,1.3,239.319,,
568,-42.6,-39.8,-3.7,2.5,286.5,0.2,0.00,1.4,239.756,,
569,-40.3,-39.7,-1.5,2.5,286.3,0.2,0.00,1.4,240.193,,
570,-36.6,-39.8,2.3,2.5,286.4,0.2,0.00,1.4,240.630,,
571,-39.3,-38.7,-0.4,2.5,286.3,0.2,0.00,1.4,241.066,,
572,-34.5,-36.8,4.4,2.5,286.3,0.2,0.00,1.3,241.488,,
573,-41.7,-38.5,-2.9,2.5,286.5,0.2,0.00,1.3,241.924,,
574,-39.1,-38.4,-0.2,2.5,286.3,0.2,0.00,1.3,242.361,,
575,-36.8,-39.2,2.1,2.5,286.4,0.2,0.00,1.4,242.798,,
576,-38.9,-38.2,0.0,2.5,286.5,0.2,0.00,1.4,243.219,,
577,-36.8,-37.5,2.1,2.5,286.4,0.2,0.00,1.4,243.656,,
578,-42.1,-39.2,-3.2,2.5,286.5,0.2,0.00,1.3,244.093,,
579,-43.5,-40.8,-4.7,2.5,286.2,0.2,0.00,1.4,244.530,,
580,-39.9,-41.8,-1.1,2.5,286.6,0.2,0.00,1.4,244.966,,
581,-31.2,-38.2,7.6,2.5,286.5,0.2,0.00,1.4,245.403,,
582,-41.9,-37.7,-3.0,2.5,286.4,0.2,0.00,1.4,245.824,,
583,-40.0,-37.7,-1.1,2.5,286.3,0.2,0.00,1.4,246.261,,
584,-37.7,-39.8,1.2,2.5,286.4,0.2,0.00,1.4,246.698,,
585,-35.9,-37.8,3.0,2.5,286.4,0.2,0.00,1.3,247.135,,
586,-40.3,-37.9,-1.4,2.5,286.5,0.2,0.00,1.4,247.556,,
587,-35.7,-37.3,3.2,2.5,286.4,0.2,0.00,1.3,247.993,,
588,-35.1,-37.0,3.7,2.5,286.5,0.2,0.00,1.3,248.430,,
589,-41.2,-37.4,-2.4,2.5,286.2,0.2,0.00,1.4,248.866,,
590,-40.7,-39.0,-1.8,2.5,286.3,0.2,0.00,1.4,249.303,,
591,-36.2,-39.4,2.7,2.5,286.6,0.2,0.00,1.4,249.724,,
592,-35.7,-37.5,3.2,2.5,286.4,0.2,0.00,1.3,250.161,,
593,-43.8,-38.6,-5.0,2.5,286.5,0.2,0.00,1.4,250.598,,
594,-36.1,-38.5,2.8,2.5,286.4,0.2,0.00,1.3,251.035,,
595,-37.3,-39.1,1.6,2.5,286.5,0.2,0.00,1.4,251.472,,
596,-41.4,-38.2,-2.5,2.5,286.6,0.2,0.00,1.3,251.908,,
597,-39.8,-39.5,-0.9,2.5,286.4,0.2,0.00,1.3,252.345,,
598,-37.5,-39.5,1.4,2.5,286.3,0.2,0.00,1.3,252.766,,
599,-37.8,-38.4,1.0,2.5,286.3,0.2,0.00,1.4,253.203,,
600,-41.6,-39.0,-2.7,2.5,286.3,0.2,0.00,1.3,253.640,,
601,-36.8,-38.7,2.1,2.5,286.5,0.2,0.00,1.4,254.061,,
602,-46.2,-41.5,-7.3,2.5,286.3,0.2,0.00,1.4,254.498,,
603,-39.2,-40.7,-0.4,2.5,286.4,0.2,0.00,1.3,254.935,,
604,-36.2,-40.6,2.6,2.5,286.4,0.2,0.00,1.4,255.372,,
605,-39.4,-38.3,-0.5,2.5,286.7,0.2,0.00,1.4,255.808,,
606,-36.9,-37.5,2.0,2.5,286.6,0.2,0.00,1.3,256.245,,
607,-37.8,-38.0,1.0,2.5,286.4,0.2,0.00,1.3,256.682,,
608,-42.6,-39.1,-3.8,2.5,286.4,0.2,0.00,1.4,257.103,,
609,-38.0,-39.5,0.9,2.5,286.4,0.2,0.00,1.4,257.540,,
610,-37.1,-39.2,1.8,2.5,286.4,0.2,0.00,1.4,257.977,,
611,-39.3,-38.1,-0.4,2.5,286.3,0.2,0.00,1.3,258.429,,
612,-38.2,-38.2,0.7,2.5,286.3,0.2,0.00,1.3,258.850,,
613,-40.3,-39.3,-1.5,2.5,286.4,0.2,0.00,1.4,259.272,,
614,-41.2,-39.9,-2.3,2.5,286.5,0.2,0.00,1.4,259.708,,
615,-40.1,-40.6,-1.3,2.5,286.3,0.2,0.00,1.3,260.145,,
616,-36.0,-39.1,2.8,2.5,286.5,0.2,0.00,1.4,260.582,,
617,-39.6,-38.6,-0.7,2.5,286.5,0.2,0.00,1.4,261.019,,
618,-35.9,-37.2,3.0,2.5,286.4,0.2,0.00,1.3,261.440,,
619,-38.9,-38.1,0.0,2.5,286.6,0.2,0.00,1.3,261.877,,
620,-42.8,-39.2,-3.9,2.5,286.3,0.2,0.00,1.4,262.314,,
621,-38.4,-40.0,0.5,2.5,286.4,0.2,0.00,1.4,262.750,,
622,-35.5,-38.9,3.4,2.5,286.5,0.2,0.00,1.3,263.187,,
623,-40.5,-38.1,-1.7,2.5,286.2,0.2,0.00,-0.4,263.608,,
624,-38.5,-38.2,0.3,2.5,286.6,0.2,0.00,1.4,264.045,,
625,-41.5,-40.2,-2.7,2.5,286.5,0.2,0.00,1.3,264.482,,
626,-38.9,-39.7,0.0,2.5,286.3,0.2,0.00,1.4,264.919,,
627,-35.5,-38.7,3.3,2.5,286.4,0.2,0.00,1.3,265.356,,
628,-35.9,-36.8,3.0,2.5,286.4,0.2,0.00,1.4,265.792,,
629,-41.2,-37.5,-2.3,2.5,286.4,0.2,0.00,1.4,266.214,,
630,-41.0,-39.4,-2.2,2.5,286.4,0.2,0.00,1.4,266.650,,
631,-38.5,-40.3,0.3,2.5,286.5,0.2,0.00,1.4,267.087,,
632,-36.6,-38.7,2.3,2.5,286.4,0.2,0.00,1.3,267.524,,
633,-36.8,-37.3,2.1,2.5,286.4,0.2,0.00,1.4,267.961,,
634,-42.1,-38.5,-3.2,2.5,286.5,0.2,0.00,-0.4,268.382,,
635,-40.1,-39.7,-1.3,2.5,286.5,0.2,0.00,1.4,268.819,,
636,-38.5,-40.2,0.3,2.5,286.4,0.2,0.00,1.4,269.256,,
637,-37.8,-38.8,1.1,2.5,286.6,0.2,0.00,1.4,269.692,,
638,-38.7,-38.4,0.1,2.5,286.3,0.2,0.00,1.3,270.129,,
639,-34.3,-36.9,4.6,2.5,286.4,0.2,0.00,-0.5,270.550,,
640,-37.6,-36.9,1.2,2.5,286.4,0.2,0.00,1.4,270.987,,
641,-39.6,-37.2,-0.7,2.5,286.3,0.2,0.00,1.4,271.424,,
642,-34.4,-37.2,4.4,2.5,286.5,0.2,0.00,1.3,271.861,,
643,-38.2,-37.4,0.7,2.5,286.6,0.2,0.00,1.4,272.298,,
644,-41.7,-38.1,-2.9,2.5,286.4,0.2,0.00,1.3,272.734,,
645,-36.9,-38.9,1.9,2.5,286.5,0.2,0.00,1.3,273.171,,
646,-40.8,-39.8,-2.0,2.5,286.4,0.2,0.00,1.4,273.592,,
647,-41.2,-39.7,-2.4,2.5,286.3,0.2,0.00,1.4,274.029,,
648,-37.4,-39.8,1.4,2.5,286.7,0.2,0.00,1.4,274.466,,
